species	n_samples	n_observations	median_log2PTR	q1_log2PTR	q3_log2PTR	median_PTR	median_coverage	median_containment	median_windows	median_anchors	median_ori_confidence	clean_denture_median_log2PTR	unclean_denture_median_log2PTR	unclean_minus_clean_log2PTR	mannwhitney_p	mannwhitney_fdr_bh	median_relative_abundance_all_samples	median_nonzero_relative_abundance
Ottowia_sp001262075	11	11	0.846076716	0.61979349285	1.08671817605	1.797605839	3.121297015	0.05299145299	21.0	1470.0	0.9871920385	0.846076716	0.8371242301999999	-0.008952485800000076	0.7922077922077921	1.0	0.0	0.0003547970187499
Lancefieldella_parvula	7	7	0.8459656002	0.4912833083	0.9684208964500001	1.797467394	15.15851136	0.05678233438	19.0	484.0	0.9972700939	1.041249144	0.7368206365000001	-0.30442850749999995			0.0	0.0003834013357202
Methylobacterium_rhodesianum	13	13	0.8401587785	0.6296307612	1.183910927	1.79024716	3.249603538	0.004903909874	13.0	1233.0	0.7065048408	0.8283602162	1.1465242	0.3181639838	0.28438228438228436	0.9668997668997669	0.0	0.0011397273442832001
Actinomyces_massiliensis	18	18	0.8178964516	0.5963606347749999	1.3919698	1.7631742485	6.3483605025	0.011904761905	26.0	979.5	0.94005789225	1.23599914535	0.7540248715	-0.48197427385000013	0.15050635638870935	0.7310308738880168	0.0	0.00022411990760765
Actinomyces_sp000220835	10	10	0.8125233097	0.685717150675	0.994959687675	1.756326068	1.77475973	0.02148365773	12.0	1208.0	0.747029484	0.8125233097	0.7713393135	-0.04118399620000002	0.7619047619047619	1.0	0.0	0.0003087973756798
Ensifer_sp000799055	10	10	0.80521843845	0.669723989725	1.1428711675	1.7476556165	2.243783101	0.0019002805175	10.5	931.0	0.6685888155	0.7810466754	0.8293902015	0.048343526100000034	0.9999999999999999	1.0	0.0	0.0001070403586832
Cutibacterium_acnes	37	37	0.7907787165	0.6499988091	1.09394218	1.730008009	3.133442556	0.02057926829	15.0	1494.0	0.9056758754	0.8075873262	0.7907787165	-0.016808609699999977	0.9150536836962232	1.0	0.0147723567995203	0.0155792797723241
Streptococcus_mutans	10	10	0.7827225552	0.6936932999000001	1.171014892	1.720379752	6.868574377	0.24525316455	38.0	237.5	0.9540961379499999	1.198330768	0.7791185878	-0.41921218019999995			0.0	0.008614438399154
Anaeroglobus_micronuciformis	6	6	0.78188926915	0.586915167225	1.19641654805	1.720236653	7.6328883965	0.16468682504499998	22.0	773.0	0.96648287625	1.384739852	0.7363763961	-0.6483634559			0.0	0.0010379798017291
Centipeda_noxia	6	6	0.77972200355	0.452973338025	0.9069028664500001	1.7171910879999999	12.403060705	0.07073534901	24.0	2452.0	0.98335135155		0.77972200355				0.0	0.0001320602519918
Corynebacterium_matruchotii	9	9	0.7732151391	0.6021792837	1.31619696	1.709074325	9.816967568	0.07521139297	23.0	1980.0	0.9933794716		0.7732151391				0.0	0.0008230756544891
Slackia_exigua	5	5	0.7344379854	0.68152487	0.8376319501	1.663749215	2.252947924	0.01503951058	18.0	1821.0	0.7166604644		0.7344379854				0.0	3.55634258903588e-05
Tannerella_sp003033925	7	7	0.7284815427	0.5242023959	0.8988433493000001	1.656894268	2.171412976	0.04545454545	21.0	2072.0	0.9667602687	0.3456379905	0.7577426791499999	0.41210468864999994			0.0	0.0008726066102181
Lautropia_mirabilis	27	27	0.7079955364	0.2837687552	0.94075591195	1.633532928	3.214118386	0.03692115144	24.0	2400.0	0.9990448945	0.8471619636	0.6188030461	-0.22835891749999992	0.5100675275575344	1.0	0.0022940699008861	0.0034653186088398503
