genome	gc	mode	depth	n	failed	r	rmse	slope
g10_Klebsiella_pneumoniae	57.0	A_k16	2.0	8	0	0.999	0.062	1.014
g10_Klebsiella_pneumoniae	57.0	A_k2	2.0	8	0	0.998	0.05	0.992
g10_Klebsiella_pneumoniae	57.0	A_k4	2.0	8	0	0.999	0.039	1.001
g10_Klebsiella_pneumoniae	57.0	A_k8	2.0	8	0	0.999	0.037	1.016
g10_Klebsiella_pneumoniae	57.0	E_s106	2.0	8	0	0.998	0.047	1.021
g10_Klebsiella_pneumoniae	57.0	E_s129	2.0	8	0	0.998	0.043	1.003
g10_Klebsiella_pneumoniae	57.0	A_k16	5.0	8	0	1.0	0.021	1.012
g10_Klebsiella_pneumoniae	57.0	A_k2	5.0	8	0	0.999	0.028	1.031
g10_Klebsiella_pneumoniae	57.0	A_k4	5.0	8	0	1.0	0.018	1.02
g10_Klebsiella_pneumoniae	57.0	A_k8	5.0	8	0	1.0	0.015	1.018
g10_Klebsiella_pneumoniae	57.0	E_s106	5.0	8	0	0.999	0.022	1.015
g10_Klebsiella_pneumoniae	57.0	E_s129	5.0	8	0	0.999	0.024	1.012
g11_Klebsiella_variicola	57.0	A_k16	0.5	8	0	0.967	0.366	0.753
g11_Klebsiella_variicola	57.0	A_k2	0.5	8	0	0.962	0.315	0.867
g11_Klebsiella_variicola	57.0	A_k4	0.5	8	0	0.943	0.309	0.932
g11_Klebsiella_variicola	57.0	A_k8	0.5	8	0	0.945	0.339	0.89
g11_Klebsiella_variicola	57.0	E_s105	0.5	8	0	0.984	0.295	0.897
g11_Klebsiella_variicola	57.0	E_s127	0.5	8	0	0.985	0.299	0.946
g11_Klebsiella_variicola	57.0	A_k16	1.0	8	0	0.992	0.14	0.868
g11_Klebsiella_variicola	57.0	A_k2	1.0	8	0	0.985	0.135	0.805
g11_Klebsiella_variicola	57.0	A_k4	1.0	8	0	0.987	0.122	0.85
g11_Klebsiella_variicola	57.0	A_k8	1.0	8	0	0.989	0.129	0.906
